"left_out_study","estimate","ci_lb","ci_ub"
"mouri_2020",-1.9034609165388,-2.18521152454626,-1.62171030853133
"nakashima_2018",-1.90370287404876,-2.18527058050529,-1.62213516759224
"nakatani-pawlak_2009",-1.90351160530904,-2.18532655299628,-1.62169665762179
"nawwar_2022",-1.87920131162778,-2.15637404598509,-1.60202857727047
"neill_2016",-1.90653959371518,-2.18792633008681,-1.62515285734356
"nikiforuk_2013",-1.89395299552956,-2.17464175043157,-1.61326424062756
"nikiforuk_2016",-1.88796756482343,-2.16763215861438,-1.60830297103249
"nikiforuk_2016b",-1.89299558052284,-2.17391508642966,-1.61207607461602
"noda_2020",-1.89350429431684,-2.17453037680511,-1.61247821182857
"noda_2021",-1.90169767967805,-2.18338272295783,-1.62001263639826
"occhieppo_2022",-1.90745573771257,-2.1888000655467,-1.62611140987845
"onaolapo_2017",-1.8682366624872,-2.14239579340241,-1.59407753157199
"onaolapo_2017b",-1.85961236049751,-2.13091883762961,-1.5883058833654
"onaolapo_2017c",-1.86479994230719,-2.13738290832194,-1.59221697629244
"otuathaigh_2010",-1.90826578234139,-2.18977320575673,-1.62675835892605
"paasonen_2017",-1.90459349772379,-2.18586889232876,-1.62331810311882
"pacheco_2019",-1.90824985891294,-2.18956952144657,-1.6269301963793
"paul_2013",-1.89993744768086,-2.18143054475138,-1.61844435061035
"pedersen_2014",-1.90498911676765,-2.18662449910616,-1.62335373442913
"peng_2022",-1.87694594220369,-2.15386939570243,-1.60002248870495
"peters_2017",-1.91090916735474,-2.19167690121267,-1.6301414334968
"podhorna_2003",-1.90706343289593,-2.18846528437096,-1.6256615814209
"popik_2017",-1.90624720994391,-2.1876021798374,-1.62489224005042
"potasiewicz_2017",-1.89425348121973,-2.17525392053135,-1.61325304190811
"pouzet_2002",-1.89338703278177,-2.1740514289483,-1.61272263661524
"pouzet_2002b",-1.87686985470502,-2.15398065526723,-1.59975905414281
"quiao_2000",-1.90489222815207,-2.18674155756263,-1.6230428987415
"rajagopal_2018",-1.88787785414667,-2.16791031126333,-1.60784539703001
"rajagopal_2022",-1.86689018797788,-2.14094793254759,-1.59283244340817
"riehl_2011",-1.89986733305772,-2.1809015351731,-1.61883313094235
"rung_2005",-1.9060367581549,-2.1874770030804,-1.6245965132294
"rung_2005b",-1.90629737898681,-2.18808513477331,-1.62450962320031
"sallinen_2013",-1.90183653544628,-2.18354202110954,-1.62013104978302
"salunke_2013",-1.91297862978079,-2.19336793386684,-1.63258932569474
"sams-dodd_1995",-1.9157368626575,-2.19551931238447,-1.63595441293053
"sams-dodd_1996",-1.87542775734776,-2.15480213396108,-1.59605338073443
"sams-dodd_1997",-1.88323515473136,-2.16264921457116,-1.60382109489156
"sams-dodd_1998",-1.87913080396882,-2.15720434306978,-1.60105726486786
"sams-dodd_1998b",-1.90193749610073,-2.1834750096401,-1.62039998256135
"sams-dodd_1998c",-1.88657621403303,-2.16669412303802,-1.60645830502804
"sams-dodd_1998d",-1.89113339734109,-2.17196438552169,-1.61030240916048
"sams-dodd_2004",-1.91911426064801,-2.19655795139109,-1.64167056990493
"satow_2009",-1.89694949960326,-2.17837816905956,-1.61552083014696
"savage_2011",-1.90380997621215,-2.1853468872678,-1.6222730651565
"savolainen_2018",-1.90711748745481,-2.18902426075599,-1.62521071415363
"schiavone_2019",-1.89897897268405,-2.18004869501872,-1.61790925034939
"seillier_2010",-1.9064963990653,-2.18788647877245,-1.62510631935815
"seillier_2013",-1.89713626950894,-2.17860793772583,-1.61566460129205
"seillier_2020",-1.90365574798522,-2.18527544362822,-1.62203605234223
"shahzad_2017",-1.9018082577616,-2.18307189862205,-1.62054461690115
"silva_2020",-1.90666319185151,-2.18841053112032,-1.6249158525827
"silvestre_1997",-1.90566480325318,-2.18702695107085,-1.62430265543551
"slawinska_2013",-1.90002984316736,-2.18159115821812,-1.61846852811659
"slot_2005",-1.8937062908767,-2.17484217470259,-1.61257040705081
"snigdha_2007",-1.90481096113438,-2.18609955244166,-1.6235223698271
"snigdha_2008",-1.88445846027986,-2.16319803314133,-1.60571888741839
"sokoloff_2013",-1.90542755494624,-2.1867508363622,-1.62410427353028
"spano_2010",-1.90947404497831,-2.19064369373588,-1.62830439622073
"sukhotina_1998",-1.91313228163755,-2.19342241713338,-1.63284214614171
"supp_2020",-1.90907581757381,-2.1901338956638,-1.62801773948382
"takase_2022",-1.90544430511639,-2.18715546260196,-1.62373314763083
"takeuchi_2019",-1.90685805817815,-2.18893562334421,-1.62478049301209
"tanaka_2003",-1.90404466906128,-2.18579111633176,-1.6222982217908
"tanaka_2019",-1.89881934023773,-2.18026313862691,-1.61737554184855
"tarland_2017",-1.89581202378854,-2.17684945372867,-1.61477459384841
"tarland_2018",-1.89569829707585,-2.17672211310046,-1.61467448105124
"tekin_2022",-1.90059908311539,-2.18206230048456,-1.61913586574622
"terranova_2005",-1.9087667592035,-2.18994268212982,-1.62759083627717
"thomson_2018",-1.9002398642702,-2.18142849454334,-1.61905123399706
"trevlopoulou_2015",-1.88843252862003,-2.16830136791512,-1.60856368932494
"unal_2017",-1.90749842325838,-2.18866882264177,-1.62632802387499
"unal_2018",-1.90064461749224,-2.18200959764301,-1.61927963734148
"unal_2018b",-1.91387928278211,-2.19379995010045,-1.63395861546377
"unal_2020",-1.90083030660532,-2.18230336253939,-1.61935725067126
"unal_2020b",-1.87461134304376,-2.15079850279491,-1.5984241832926
"unal_2020c",-1.90833766257785,-2.18954200651062,-1.62713331864508
"vijeepallam_2016",-1.89459047538191,-2.17550592499855,-1.61367502576527
"wang_2007",-1.90588815031132,-2.18776142244563,-1.62401487817702
"wang_2021",-1.90697327768406,-2.18837278089813,-1.62557377446999
"wass_2009",-1.89945586657374,-2.18075138388454,-1.61816034926293
"white_2009",-1.91072281204379,-2.19151894140159,-1.62992668268598
"wieronska_2013",-1.89812362312474,-2.17954989868604,-1.61669734756344
"wieronska_2015",-1.9032585733925,-2.1849977118342,-1.62151943495081
"wieronska_2015b",-1.89289750478024,-2.17382210845341,-1.61197290110707
"wieronska_2016",-1.89362770664201,-2.17418023210394,-1.61307518118008
"wozniak_2016",-1.90112444966627,-2.18262504072384,-1.6196238586087
"yeap_2020",-1.91302694553238,-2.19334830583817,-1.63270558522658
"zamberletti_2014",-1.8959475318944,-2.17671322015748,-1.61518184363131
"zhou_2014",-1.88286699100282,-2.16094293814901,-1.60479104385664
"zhu_2016",-1.90236141524877,-2.18364025962569,-1.62108257087185
"zimnisky_2013",-1.89701971374278,-2.17819065059731,-1.61584877688825
"zou_2008",-1.91172340014292,-2.19236815138798,-1.63107864889787
"zoupa_2019",-1.88872474700561,-2.16865267440662,-1.60879681960461
"zugno_2013",-1.91123046240324,-2.19171879680055,-1.63074212800594
"zugno_2016",-1.9069164332369,-2.18839332158193,-1.62543954489186
"zugno_2017",-1.91367370910216,-2.19377520777454,-1.63357221042978
