"model","term","estimate","se","ci_lb","ci_ub"
"PEESE","intrcpt",-0.723196049305002,0.220713523054667,-1.15579455449215,-0.290597544117855
"PEESE","vi",-1.76914644946465,0.386243632245521,-2.52618396866587,-1.01210893026343
