"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",-1.9496323465054,0.14100284400871,-2.22599792076248,-1.67326677224833,0
"rho=0.3","intrcpt",-1.92196932215204,0.141247809409159,-2.19881502859399,-1.64512361571009,0.3
"rho=0.5","intrcpt",-1.90059854778531,0.142709400345295,-2.18030897246209,-1.62088812310853,0.5
"rho=0.8","intrcpt",-1.85203845447587,0.150905135326812,-2.14781251971642,-1.55626438923532,0.8
