"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",0.196299108031295,0.181677860297606,-0.159789498152012,0.552387714214603,0
"rho=0.3","intrcpt",0.191490009900654,0.166595861587031,-0.135037878809926,0.518017898611234,0.3
"rho=0.5","intrcpt",0.183301916696472,0.150424848753302,-0.111530786859999,0.478134620252944,0.5
"rho=0.8","intrcpt",0.188530368135324,0.106295462044472,-0.0198087374718413,0.39686947374249,0.8
