"model","term","estimate","se","ci_lb","ci_ub"
"PET","intrcpt",0.711484781343905,2.11775750572295,-3.43931992987308,4.86228949256089
"PET","sqrt(vi)",-1.08589512802963,4.80123489883738,-10.4963155297509,8.32452527369164
