"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",0.714610162757718,0.113912259211673,0.491342134702838,0.937878190812597,0
"rho=0.3","intrcpt",0.653399326967398,0.110916859593977,0.436002282163202,0.870796371771594,0.3
"rho=0.5","intrcpt",0.606384734563863,0.11398582163669,0.38297252415595,0.829796944971776,0.5
"rho=0.8","intrcpt",0.442878879609771,0.126209769454276,0.19550773147939,0.690250027740152,0.8
