"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",-1.27619045782901,0.160138405678546,-1.59006173295896,-0.962319182699056,0
"rho=0.3","intrcpt",-1.27465121714714,0.160107372833946,-1.58846166790167,-0.960840766392602,0.3
"rho=0.5","intrcpt",-1.27233099601164,0.16020500601547,-1.58633280780196,-0.958329184221318,0.5
"rho=0.8","intrcpt",-1.25993203821737,0.161383881802,-1.57624444654929,-0.943619629885453,0.8
