"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",-0.769235187594753,0.078137537498211,-0.922384761091247,-0.616085614098259,0
"rho=0.3","intrcpt",-0.631345290450749,0.073614320597663,-0.775629358822169,-0.48706122207933,0.3
"rho=0.5","intrcpt",-0.493182598407612,0.096086139728601,-0.68151143227567,-0.304853764539554,0.5
"rho=0.8","intrcpt",-0.0959080509552469,0.189857731840334,-0.468029205362301,0.276213103451807,0.8
