"model","term","estimate","se","ci_lb","ci_ub","rho"
"rho=0","intrcpt",0.496301569918674,0.180822809857645,0.14188886259769,0.850714277239657,0
"rho=0.3","intrcpt",0.447888540073802,0.175724874897786,0.103467785274141,0.792309294873463,0.3
"rho=0.5","intrcpt",0.400069284176569,0.172449490410667,0.062068282971662,0.738070285381477,0.5
"rho=0.8","intrcpt",0.249379074328344,0.175432242614123,-0.0944681211953377,0.593226269852025,0.8
