"model","term","estimate","se","ci_lb","ci_ub"
"PET","intrcpt",-3.8026795280263,1.0487735595741,-5.85827570479153,-1.74708335126107
"PET","sqrt(vi)",7.71697440102897,1.94451274010392,3.90572943042529,11.5282193716326
