"model","term","estimate","se","ci_lb","ci_ub"
"Meta-reg: nmda_cumulative_exposure","intrcpt",0.453639670746205,0.181746718484146,0.0974161025172801,0.809863238975131
"Meta-reg: nmda_cumulative_exposure","nmda_cumulative_exposure",-0.00162087835203089,0.00115412159537747,-0.00388295667897073,0.000641199974908948
